module_id,question,option_a,option_b,option_c,option_d,answer_index,explanation
0,Approximately what percentage of the global population has a disability?,5%,10%,15%,25%,2,The WHO estimates that 15% of the world's population (over 1 billion people) live with some form of disability.
0,"A colleague breaks their arm and struggles to use a mouse for 6 weeks. According to the disability spectrum, how would this be classified?",Situational,Developmental,Permanent,Temporary,3,"The disability spectrum includes permanent, temporary, and situational conditions. A broken arm is a temporary disability, a short-term condition that creates real barriers."
0,A Deque study found that 67% of accessibility issues are introduced at the design stage. What is the most significant implication for design teams?,Designers should hand off accessibility responsibilities to developers early,Most accessibility barriers can be prevented before any code is written,Accessibility audits at launch are sufficient to catch most issues,Accessibility issues are too complex to address until the product is built,1,"Because 67% of issues originate in design decisions, the majority of barriers can be eliminated before development begins. The design stage is where the greatest opportunity to solve it lives."
1,Which statement most accurately describes the relationship between WCAG conformance levels?,Each level is independent. Teams can choose to meet AA without meeting A,AAA is required for products serving users with permanent disabilities,Each level builds on the previous one. AA requires meeting all A and AA criteria,"Level A and AA share the same criteria, AA simply requires more testing",2,"WCAG conformance levels are cumulative, not separate. To claim AA compliance, a product must satisfy every Level A criterion and every Level AA criterion. Skipping Level A while meeting AA is not possible — the levels stack. This is why Level A failures are so critical: they sit at the foundation of everything above them."
1,A navigation menu works perfectly with a mouse but cannot be accessed using a keyboard alone. Which POUR principle does this violate?,Perceivable: the menu is not visible to all users,Understandable: the menu behavior is unpredictable,Robust: the menu won't work across assistive technologies,Operable: all UI components must work across the full range of human input,3,"Operable means your interface responds to every way a person might interact with it, not just the most common one. A menu that only works with a mouse excludes keyboard-only users, including people using assistive technology, motor-impaired users, and power users who prefer not to reach for a mouse. If it can't be navigated without a mouse, it fails Operable."
1,A website works on Chrome and Safari today but breaks completely when accessed through a screen reader. Which POUR principle does this most directly violate?,Robust: content must work reliably across technologies and assistive tools,Understandable: the content is confusing when read aloud,Operable: the interface cannot be navigated without a mouse,Perceivable: the content cannot be sensed by the user,0,"Robust means your product isn't just built for today's most common browsers and devices. It must hold up across the full range of technologies people use to access the web, including screen readers and other assistive tools. A product that works visually but breaks for screen reader users hasn't been built to last. Robustness is how accessibility stays accessible over time."
2,Which WCAG principle covers making sure all images have text alternatives?,Operable,Perceivable,Understandable,Robust,1,"Perceivable means all content must be presentable to users in ways they can perceive, including providing text alternatives for non-text content like images (1.1.1)."
2,A designer uses a red border alone to highlight a selected state in a filter component. Which WCAG success criteria does this most directly violate?,1.3.4: Screen orientation must support both portrait and landscape modes,1.4.3: Text must meet a 4.5:1 contrast ratio,1.4.1: Information must not be conveyed through color alone,"1.3.2: Elements must be ordered in a logical, meaningful sequence",2,"WCAG 1.4.1 states that color cannot be the only visual means of conveying information. A user with color vision deficiency may not perceive the red border as a selected state at all. The fix is to pair color with an additional visual cue, such as an icon, label, or change in shape, so the meaning is communicated through more than one channel."
2,A user zooms their browser to 400% to read your interface more comfortably. The content breaks into multiple columns and requires horizontal scrolling to navigate. Which success criteria has been violated?,1.4.10: Content must reflow up to 400% without requiring horizontal scrolling,1.4.12: Text spacing must be adjustable without breaking the layout,1.3.3: Instructions must not rely on sensory characteristics like size or location,1.4.4: The UI must support scalable font sizes across browsers and devices,0,"WCAG 1.4.10 requires that content can be enlarged up to 400% without forcing users to scroll in two directions. Horizontal scrolling at high zoom levels creates a significant barrier for users with low vision. Designing with flexible, single-column reflow in mind ensures the experience remains navigable no matter how a user needs to scale it."
3,What is the minimum recommended touch target size for interactive elements?,24x24px,32x32px,44x44px,48x48px,3,"The recommended minimum touch target is 48x48px. Even for smaller visual elements like icons, the tap area should still be 48x48px."
